name,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence
Somewhere in My Memory - Chorus & Orchestra Version,1WA5av9UlqPNOKcaUdWbGM,0.351,0.0767,-21.396,0.0335,0.99,73.848,0.0783,0.146
Santa Claus Got Stuck in My Chimney,4ZxvEQsHrpmHq4Ngb395j0,0.697,0.297,-7.186,0.0406,0.927,138.017,0.193,0.773
My Favourite Things,0MoZADdiiC9yzcWpBbNYAC,0.494,0.37,-13.598,0.0608,0.636,138.734,0.352,0.591
Rockin' Around the Christmas Tree - Re-Recorded Version,3q3TlWP89Icpn0DuzOlS8K,0.682,0.641,-8.915,0.0386,0.568,141.002,0.224,0.826
Christmas (Baby Please Come Home),4cfFatS3ssDtqDDRz25RRB,0.495,0.793,-5.696,0.03,0.000942,125.998,0.0791,0.672
Christmas (Baby Please Come Home),46pF1zFimM582ss1PrMy68,0.325,0.759,-7.146,0.053,0.395,126.627,0.0773,0.36
Christmas Time Is Here - Bossa Nova Christmas Album Version,4mLj5Osm04hrUHVgJDFI0x,0.444,0.237,-18.928,0.038,0.932,182.658,0.122,0.302
Hallelujah,550rQQCGkrTzvp4SfpOPzx,0.322,0.377,-7.385,0.0356,0.454,118.669,0.338,0.366
"Theme From New York, New York",17bBNcLyMBDayQskHJX29T,0.407,0.589,-5.32,0.03,0.547,109.009,0.281,0.559
Last Christmas,5bjWdBx64POBYiUny759hy,0.677,0.791,-2.772,0.0272,0.126,102.986,0.102,0.787
Silent Night,1N5cFf4F9LNfov7GCGWpQc,0.24,0.124,-14.542,0.0308,0.959,80.986,0.103,0.113
I'll Be Home For Christmas,3OfiRybgoMcTtEFKuvyx0r,0.61,0.495,-6.906,0.0308,0.098,112.961,0.121,0.484
Jingle Bell Rock,2wCPMWR3y4xclijuCcLJv7,0.709,0.506,-5.628,0.0377,0.844,119.345,0.062,0.682
Christmas Is All Around,49FE3lHyo4yboBYHOeGG98,0.749,0.254,-18.614,0.0453,0.0185,100.01,0.257,0.642
Christmas Wrapping - Single Edit,3WLX1Cs8PHIWJFAyUwDuhk,0.727,0.782,-8.026,0.115,0.0704,115.56,0.217,0.833
Merry Xmas Everybody,5JUXAJ6cqX9wmPB0smNci8,0.343,0.761,-3.07,0.0408,0.0256,128.931,0.0798,0.471
O Tannenbaum,0bjYzTbNdJyLlaG1nzoaMj,0.591,0.16,-17.991,0.0426,0.879,122.436,0.115,0.388
Act II: Sugarplum Fairy,19wepQYtmhiY81AgOwPqqU,0.296,0.0383,-31.888,0.0337,0.734,124.621,0.133,0.168
Act II: Candy Cane,0RCJQkqXKxqvujio9Q4Tmp,0.5,0.391,-15.099,0.0343,0.78,75.28,0.141,0.946
